"NAME","Pittsburgh","JOIN_NAME"
"Shaler township",0,"SHALER TOWNSHIP"
"South Park township",0,"SOUTH PARK TOWNSHIP"
"Springdale borough",0,"SPRINGDALE BOROUGH"
"Springdale township",0,"SPRINGDALE TOWNSHIP"
"Stowe township",0,"STOWE TOWNSHIP"
"Swissvale borough",0,"SWISSVALE BOROUGH"
"Tarentum borough",0,"TARENTUM BOROUGH"
"Trafford borough",0,"TRAFFORD BOROUGH"
"Baldwin township",0,"BALDWIN TOWNSHIP"
"Braddock Hills borough",0,"BRADDOCK HILLS BOROUGH"
"Aleppo township",0,"ALEPPO TOWNSHIP"
"Avalon borough",0,"AVALON BOROUGH"
"Wilkins township",0,"WILKINS TOWNSHIP"
"Wilkinsburg borough",0,"WILKINSBURG BOROUGH"
"Sharpsburg borough",0,"SHARPSBURG BOROUGH"
"Point Breeze North",1,"CITY OF PITTSBURGH"
"Squirrel Hill North",1,"CITY OF PITTSBURGH"
"Garfield",1,"CITY OF PITTSBURGH"
"Bedford Dwellings",1,"CITY OF PITTSBURGH"
"Knoxville",1,"CITY OF PITTSBURGH"
"Homewood South",1,"CITY OF PITTSBURGH"
"Middle Hill",1,"CITY OF PITTSBURGH"
"Oakwood",1,"CITY OF PITTSBURGH"
"North Oakland",1,"CITY OF PITTSBURGH"
"Duquesne Heights",1,"CITY OF PITTSBURGH"
"Glen Hazel",1,"CITY OF PITTSBURGH"
"East Liberty",1,"CITY OF PITTSBURGH"
"Westwood",1,"CITY OF PITTSBURGH"
"Morningside",1,"CITY OF PITTSBURGH"
"Lincoln Place",1,"CITY OF PITTSBURGH"
"Perry North",1,"CITY OF PITTSBURGH"
"Northview Heights",1,"CITY OF PITTSBURGH"
"Homewood North",1,"CITY OF PITTSBURGH"
"Arlington Heights",1,"CITY OF PITTSBURGH"
"Lower Lawrenceville",1,"CITY OF PITTSBURGH"
"Larimer",1,"CITY OF PITTSBURGH"
"Lincoln-Lemington-Belmar",1,"CITY OF PITTSBURGH"
"Bluff",1,"CITY OF PITTSBURGH"
"Fairywood",1,"CITY OF PITTSBURGH"
"Brookline",1,"CITY OF PITTSBURGH"
"Hays",1,"CITY OF PITTSBURGH"
"Beltzhoover",1,"CITY OF PITTSBURGH"
"Greenfield",1,"CITY OF PITTSBURGH"
"East Carnegie",1,"CITY OF PITTSBURGH"
"North Shore",1,"CITY OF PITTSBURGH"
"Allentown",1,"CITY OF PITTSBURGH"
"Bon Air",1,"CITY OF PITTSBURGH"
"Allegheny West",1,"CITY OF PITTSBURGH"
"Crafton Heights",1,"CITY OF PITTSBURGH"
"Manchester",1,"CITY OF PITTSBURGH"
"Marshall-Shadeland",1,"CITY OF PITTSBURGH"
"Highland Park",1,"CITY OF PITTSBURGH"
"New Homestead",1,"CITY OF PITTSBURGH"
"Central Northside",1,"CITY OF PITTSBURGH"
"Polish Hill",1,"CITY OF PITTSBURGH"
"Overbrook",1,"CITY OF PITTSBURGH"
"Friendship",1,"CITY OF PITTSBURGH"
"Homewood West",1,"CITY OF PITTSBURGH"
"Central Business District",1,"CITY OF PITTSBURGH"
